Pays,iso3,PIB_croissance,Inflation,Dette_PIB,CompteCourant_PIB,z_economique,z_fiscal,z_externe,z_monetaire,score_composite,rang,categorie_risque
Inde,IND,9.19075493028345,5.64914318907925,46.5224986659322,-0.878262847208682,2.14087029589093,1.3302388172189727,-0.14810749776245632,0.49450189095130753,0.9543758765746886,1,Risque très faible
Vietnam,VNM,5.06502391455075,3.25289282667662,71.83496022011344,5.94503707253957,0.6929516697174799,0.0,2.0558083419016064,0.5602459282854408,0.8272514849761319,2,Risque très faible
Indonesie,IDN,5.04902331835997,3.66938654859761,71.83496022011344,-0.148899338519633,0.6873362863669501,0.0,0.08747584293467373,0.5488189174717832,0.3309077616933518,3,Risque faible
Allemagne,DEU,-0.869647578573321,5.94643667725823,71.83496022011344,5.51222510245724,-1.3898116908475808,0.0,1.9160107120627223,0.4863452832392335,0.25313607611359373,4,Risque faible
Turquie,TUR,5.04512369812289,53.8594087593315,33.2548360254558,-3.63367003503212,0.6859677209527872,2.0274906360651843,-1.0380999672994455,-0.8282052640561389,0.21178828141559683,5,Risque faible
Nigeria,NGA,3.32684556421316,24.659550203114,71.83496022011344,1.31788745937756,0.0829407893503114,0.0,0.5612458215838059,-0.02707170088933049,0.15427872751119667,6,Risque modéré
France,FRA,1.43921494437743,4.8783572650844,71.83496022011344,-1.04301703799496,-0.5795201232426783,0.0,-0.2013228590972267,0.5156493383795189,-0.06629841099009653,7,Risque modéré
Bresil,BRA,3.24165532813583,4.59356282283203,83.0317498523499,-1.23558182662996,0.053043413803017345,-0.5884218002723464,-0.2635210026385848,0.523463019594874,-0.06885909237825996,8,Risque modéré
Egypte,EGY,3.76028052279247,33.8847763115546,71.83496022011344,-3.17338760075615,0.23505408693770818,0.0,-0.889429417924361,-0.28017697703460853,-0.23363807700531536,9,Risque élevé
Afrique du Sud,ZAF,0.80610455095804,6.0752438457966,79.4469077095183,-1.10356312207881,-0.8017091916914699,-0.4000285789418305,-0.22087915521662,0.48281130222032204,-0.2349514059073996,10,Risque élevé
Etats-Unis,USA,2.88755600749487,4.11633838374488,116.918808847311,-3.40030482379486,-0.07122716998354034,-2.3692790740699787,-0.9627233472590762,0.536556251350778,-0.7166683349904543,11,Risque élevé
Argentine,ARG,-1.85578803046339,133.488935594175,71.83496022011344,-3.1951463789585,-1.7358960872539126,0.0,-0.8964574712850383,-3.0129379895131803,-1.4113228870130328,12,Risque très élevé
